source,target,value
娛樂蘋果派,旁白鴿,0
吃喝玩樂看蘋果,旁白鴿,0
爽報,旁白鴿,0
蘋果日報 台灣,旁白鴿,0
飲食男女 台灣,旁白鴿,0
蘋果國際,旁白鴿,0
蘋果動未條,旁白鴿,0
蘋果陪審團,旁白鴿,0
蘋果跑跳碰,旁白鴿,0
科技蘋果派,旁白鴿,0
劉方慈 Crystal Liu,旁白鴿,0
李至正,旁白鴿,0
四月桐-April,旁白鴿,0
真心白木 成 柏慎,旁白鴿,0
壹電視嬌主播 陳姿利,旁白鴿,0
亨利市,旁白鴿,0
娛樂蘋果派,爽報,0
吃喝玩樂看蘋果,爽報,0
旁白鴿,爽報,0
蘋果日報 台灣,爽報,0
飲食男女 台灣,爽報,0
宅女小紅,爽報,0
蘋果地產月刊,爽報,0
蘋果國際,爽報,0
蘋果日報即時新聞,爽報,0
蘋果動未條,爽報,0
蘋果陪審團,爽報,0
蘋果跑跳碰,爽報,0
科技蘋果派,爽報,0
蘋果地產王,爽報,0
台灣音樂書寫團隊,爽報,0
美食天王-蘋果日報,爽報,0
新聞主播 & 記者 粉絲團 News Anchor & Reporter,爽報,0
Rosy clouds 專業代購,爽報,0
對白有深度點好嗎?,爽報,0
你為什麼要檢舉我,爽報,0
Nexdoor | 宇軒數位,爽報,0
日行一善,爽報,0
101Dr.健康e情報,爽報,0
娱乐最前线,爽報,0
希望工程,爽報,0
泡菜公主的粉絲塗鴉團,爽報,0
樹屋旅店 The Tree House Design Hotel,爽報,0
【3c冉女人】主播王又冉的媽咪時尚-小葵媽,爽報,0
壹電視 Next TV新聞部,爽報,0
MOD粉絲團,爽報,0
中央社就給你「國際新聞」,爽報,0
永康頭殼秀,爽報,0
你手為什麼要那麼賤呢?,爽報,0
王哥,爽報,0
不3不4 D-奇幻魅影全像世界大展,爽報,0
我愛中港（竹南、頭份、後龍、造橋、三灣、南庄、峨眉、北埔）新竹州竹南郡 淡水廳中港堡,爽報,0
娛樂蘋果派,吃喝玩樂看蘋果,0
爽報,吃喝玩樂看蘋果,0
蘋果日報 台灣,吃喝玩樂看蘋果,0
飲食男女 台灣,吃喝玩樂看蘋果,0
飲食男女,吃喝玩樂看蘋果,0
毛愛蘋果,吃喝玩樂看蘋果,0
蘋果國際,吃喝玩樂看蘋果,0
蘋果日報即時新聞,吃喝玩樂看蘋果,0
蘋果動未條,吃喝玩樂看蘋果,0
蘋果陪審團,吃喝玩樂看蘋果,0
科技蘋果派,吃喝玩樂看蘋果,0
蘋果地產王,吃喝玩樂看蘋果,0
張允曦小8,吃喝玩樂看蘋果,0
筱蕾（陳筱蕾）,吃喝玩樂看蘋果,0
內子宮崎葵,吃喝玩樂看蘋果,0
張喬菲,吃喝玩樂看蘋果,0
帕莎蒂娜國際餐飲事業,吃喝玩樂看蘋果,0
Kevin老師,吃喝玩樂看蘋果,0
饕客送 Taokesong 美食外送,吃喝玩樂看蘋果,0
EZTABLE 簡單桌 - 預訂美好用餐時光,吃喝玩樂看蘋果,0
Ruby 劉馨如,吃喝玩樂看蘋果,0
娱乐最前线,吃喝玩樂看蘋果,0
溫紳,吃喝玩樂看蘋果,0
林莉婷,吃喝玩樂看蘋果,0
台北好生活,吃喝玩樂看蘋果,0
Ruby 林芊秀,吃喝玩樂看蘋果,0
哈妮.小草莓.謝依珊,吃喝玩樂看蘋果,0
上海鄉村,吃喝玩樂看蘋果,0
相機美人,吃喝玩樂看蘋果,0
小豬寶の悠遊記,吃喝玩樂看蘋果,0
吃喝玩樂看蘋果,娛樂蘋果派,0
爽報,娛樂蘋果派,0
旁白鴿,娛樂蘋果派,0
蘋果日報 台灣,娛樂蘋果派,0
飲食男女 台灣,娛樂蘋果派,0
修杰楷,娛樂蘋果派,0
蘋果國際,娛樂蘋果派,0
蘋果日報即時新聞,娛樂蘋果派,0
蘋果動未條,娛樂蘋果派,0
蘋果陪審團,娛樂蘋果派,0
蘋果余艾苔,娛樂蘋果派,0
蘋果跑跳碰,娛樂蘋果派,0
科技蘋果派,娛樂蘋果派,0
蘋果地產王,娛樂蘋果派,0
蘋果搖錢樹,娛樂蘋果派,0
苗．春祭 Sprouts Art Festival,娛樂蘋果派,0
動新聞旁白哥好強大~報導,娛樂蘋果派,0
翻滾吧! 男人,娛樂蘋果派,0
侯彥西,娛樂蘋果派,0
舒子晨Nikita,娛樂蘋果派,0
黃豪平,娛樂蘋果派,0
張允曦小8,娛樂蘋果派,0
IT'S SAM 伊斯山造型,娛樂蘋果派,0
朱芯儀,娛樂蘋果派,0
Melody時尚媽咪,娛樂蘋果派,0
王子 邱勝翊,娛樂蘋果派,0
Lulu 黃路梓茵,娛樂蘋果派,0
明天記得愛上我 Will You Still Love Me Tomorrow?,娛樂蘋果派,0
CHOCOLABS 可口APP研究室,娛樂蘋果派,0
大元,娛樂蘋果派,0
Circus香港專屬後援會,娛樂蘋果派,0
Jerry Yan (言承旭),娛樂蘋果派,0
客房服務Room Service Taiwan,娛樂蘋果派,0
施文彬,娛樂蘋果派,0
尹莉(BoBo)官方粉絲團,娛樂蘋果派,0
安于晴Charlene,娛樂蘋果派,0
翁滋蔓 Smire Tzymann,娛樂蘋果派,0
張喬菲,娛樂蘋果派,0
簡亞當 Adam's talk,娛樂蘋果派,0
Coara黃安若,娛樂蘋果派,0
歐小憲,娛樂蘋果派,0
舞力全開,娛樂蘋果派,0
旅行應援團,娛樂蘋果派,0
張嘉雲 - 花花,娛樂蘋果派,0
我是救星｜You are the NEXT,娛樂蘋果派,0
寶靈魔法學院,娛樂蘋果派,0
劉方慈 Crystal Liu,娛樂蘋果派,0
宥是一個好聲音 林宥嘉後援會,娛樂蘋果派,0
甜心虎牙-陳伊,娛樂蘋果派,0
邱偲琹Ally,娛樂蘋果派,0
王晴 Serene,娛樂蘋果派,0
華視娛樂show,娛樂蘋果派,0
曾雅蘭,娛樂蘋果派,0
陳 薇,娛樂蘋果派,0
成語蕎 Jenny Cheng,娛樂蘋果派,0
何戎 Kelly 的幸福大平台,娛樂蘋果派,0
李詠嫻  Jackie Lee,娛樂蘋果派,0
完美先生"宥勝",娛樂蘋果派,0
阿布 & 米雪兒 幸福布二家,娛樂蘋果派,0
曾奕翔,娛樂蘋果派,0
韋佳宏 (野獸),娛樂蘋果派,0
御水 Hydro Mode 美顏體雕,娛樂蘋果派,0
群星瑞智 Star Ritz,娛樂蘋果派,0
大喇叭來了,娛樂蘋果派,0
百鴻娛樂,娛樂蘋果派,0
楊銘威,娛樂蘋果派,0
王建復 Jeff Wang - 瘋建幫,娛樂蘋果派,0
大久保麻梨子 Okubo Mariko,娛樂蘋果派,0
永遠的大玩偶~阿西陳博正,娛樂蘋果派,0
關韶文,娛樂蘋果派,0
左左右右Zony&Yony,娛樂蘋果派,0
必Po TV,娛樂蘋果派,0
紀艾希 Ring,娛樂蘋果派,0
管麟 Peter,娛樂蘋果派,0
八三夭阿電,娛樂蘋果派,0
全球大悶鍋,娛樂蘋果派,0
最完美的女孩,娛樂蘋果派,0
雙胞胎 依依佩佩  的 依依,娛樂蘋果派,0
健忘村 The Village of No Return,娛樂蘋果派,0
糖妹 Kandy,娛樂蘋果派,0
藍心湄 Hsin-Mei Lan,娛樂蘋果派,0
Phei Yong 培永,娛樂蘋果派,0
黃健瑋,娛樂蘋果派,0
楊謹華 Cheryl,娛樂蘋果派,0
Candy.mai 麥,娛樂蘋果派,0
HORIEN 5℃天然無氣泡蘇打水,娛樂蘋果派,0
周定緯 Judy Chou,娛樂蘋果派,0
Paul與咪咪的朱式會社,娛樂蘋果派,0
維娜-李萱verna,娛樂蘋果派,0
Innovate 專業頭皮養護,娛樂蘋果派,0
楊皓如,娛樂蘋果派,0
陳彥佐（小花）,娛樂蘋果派,0
Aimee Yun Yun Sun 孫芸芸,娛樂蘋果派,0
簡立喆主播,娛樂蘋果派,0
壹電視 Next TV新聞部,娛樂蘋果派,0
MOD粉絲團,娛樂蘋果派,0
Yilin愛戀瑜珈,娛樂蘋果派,0
仔仔周渝民,娛樂蘋果派,0
許仁杰國際論壇★熊熊專屬遊樂園,娛樂蘋果派,0
楊一展粉絲後援會 Weber Yang International Fans Club,娛樂蘋果派,0
LOLLIPOP_F歌迷會,娛樂蘋果派,0
苗可麗後援會,娛樂蘋果派,0
滾石唱片 - 馬來西亞 Rock Records Malaysia,娛樂蘋果派,0
惡男日記 Bad Boys’ Diary,娛樂蘋果派,0
我愛中港（竹南、頭份、後龍、造橋、三灣、南庄、峨眉、北埔）新竹州竹南郡 淡水廳中港堡,娛樂蘋果派,0
壹顆蘋果,娛樂蘋果派,0
『有酒窩的lulu貓 雜貨鋪 』串門文化,娛樂蘋果派,0
娛樂蘋果派,蘋果日報 台灣,0
吃喝玩樂看蘋果,蘋果日報 台灣,0
爽報,蘋果日報 台灣,0
旁白鴿,蘋果日報 台灣,0
飲食男女 台灣,蘋果日報 台灣,0
飲食男女,蘋果日報 台灣,0
銘報mol即時新聞,蘋果日報 台灣,0
蘋果地產月刊,蘋果日報 台灣,0
蘋果圖解新聞│蘋果360,蘋果日報 台灣,0
修杰楷,蘋果日報 台灣,0
我得了一種吃菜就會死的病-微疼,蘋果日報 台灣,0
壹週刊,蘋果日報 台灣,0
蘋果國際,蘋果日報 台灣,0
蘋果日報即時新聞,蘋果日報 台灣,0
蘋果動未條,蘋果日報 台灣,0
蘋果愛逗陣行,蘋果日報 台灣,0
蘋果陪審團,蘋果日報 台灣,0
蘋果余艾苔,蘋果日報 台灣,0
蘋果跑跳碰,蘋果日報 台灣,0
科技蘋果派,蘋果日報 台灣,0
蘋果地產王,蘋果日報 台灣,0
蘋果搖錢樹,蘋果日報 台灣,0
茉莉花園,蘋果日報 台灣,0
聶永真 Aaron Nieh,蘋果日報 台灣,0
覺醒音樂祭 Wake Up Festival,蘋果日報 台灣,0
動新聞旁白哥好強大~報導,蘋果日報 台灣,0
蔡正元,蘋果日報 台灣,0
愛 LOVE,蘋果日報 台灣,0
SSU大專學生運動網,蘋果日報 台灣,0
曾莞婷,蘋果日報 台灣,0
許維恩,蘋果日報 台灣,0
侯昌明,蘋果日報 台灣,0
美食天王-蘋果日報,蘋果日報 台灣,0
吳怡霈(Patty),蘋果日報 台灣,0
超犀利趴,蘋果日報 台灣,0
CHOCOLABS 可口APP研究室,蘋果日報 台灣,0
楊千霈 Pink Yang,蘋果日報 台灣,0
China Airlines 中華航空,蘋果日報 台灣,0
壹起發財,蘋果日報 台灣,0
壹傳媒工會 Next Media Trade Union,蘋果日報 台灣,0
香港蘋果日報,蘋果日報 台灣,0
新聞主播 & 記者 粉絲團 News Anchor & Reporter,蘋果日報 台灣,0
中央社新聞粉絲團,蘋果日報 台灣,0
Deanna Guidedog 導盲犬,蘋果日報 台灣,0
謝金燕 Jeannie,蘋果日報 台灣,0
OUI are family．會星堂,蘋果日報 台灣,0
李騰 Lee Teng,蘋果日報 台灣,0
客房服務Room Service Taiwan,蘋果日報 台灣,0
娛果 - 蘋果娛樂,蘋果日報 台灣,0
新聞e論壇,蘋果日報 台灣,0
兩岸新聞報導獎,蘋果日報 台灣,0
就是愛銘傳,蘋果日報 台灣,0
銘傳大學大傳系海青班2010,蘋果日報 台灣,0
翻面映畫 ,蘋果日報 台灣,0
貓爵 Duke of Cat,蘋果日報 台灣,0
羅雷集團,蘋果日報 台灣,0
尹莉(BoBo)官方粉絲團,蘋果日報 台灣,0
中區國稅局  稅務e吉棒,蘋果日報 台灣,0
嘉義市長涂醒哲,蘋果日報 台灣,0
中華民國自行車騎士協會 Taiwan Cyclist Federation,蘋果日報 台灣,0
宋楚瑜找朋友,蘋果日報 台灣,0
立法委員 黃偉哲,蘋果日報 台灣,0
元大愛無限,蘋果日報 台灣,0
金穗獎／優良劇本獎／短片輔導金,蘋果日報 台灣,0
張喬菲,蘋果日報 台灣,0
飛利冰 Feilibing IceQueen,蘋果日報 台灣,0
簡亞當 Adam's talk,蘋果日報 台灣,0
pb+運動平台,蘋果日報 台灣,0
梁洳瑄 Bonnie,蘋果日報 台灣,0
觸電網- True Movie電影情報入口網,蘋果日報 台灣,0
馮光遠,蘋果日報 台灣,0
社團法人中華小腦萎縮症病友協會,蘋果日報 台灣,0
公益訊息張貼牆,蘋果日報 台灣,0
台灣啤酒棒球隊,蘋果日報 台灣,0
足球家族,蘋果日報 台灣,0
快感數位行銷 Turn-On Digital Marketing,蘋果日報 台灣,0
歐小憲,蘋果日報 台灣,0
推守文化,蘋果日報 台灣,0
李杏,蘋果日報 台灣,0
屏東小鎮資訊,蘋果日報 台灣,0
王凱 Kai Wang,蘋果日報 台灣,0
Oguma【水美媒噴年輕】幸福農場,蘋果日報 台灣,0
張嘉雲 - 花花,蘋果日報 台灣,0
蘇菲雅婚紗攝影 Sophia Wedding Studio,蘋果日報 台灣,0
DailyView 網路溫度計,蘋果日報 台灣,0
阿兜仔不教美語 (黑素斯Jesus),蘋果日報 台灣,0
大將軍豪洨專區-什麼都聊廢文區,蘋果日報 台灣,0
王晴 Serene,蘋果日報 台灣,0
邱瓈寬,蘋果日報 台灣,0
廢物女友,蘋果日報 台灣,0
林妍柔,蘋果日報 台灣,0
邱志宇 Oscar Chiu,蘋果日報 台灣,0
芳瑜 FiSha Lee,蘋果日報 台灣,0
Rosy clouds 專業代購,蘋果日報 台灣,0
陸元琪,蘋果日報 台灣,0
成語蕎 Jenny Cheng,蘋果日報 台灣,0
林嘉綺 Patina Lin,蘋果日報 台灣,0
迷徒chloe,蘋果日報 台灣,0
對白有深度點好嗎?,蘋果日報 台灣,0
你為什麼要檢舉我,蘋果日報 台灣,0
星不了情,蘋果日報 台灣,0
大愛劇場DaAi Drama,蘋果日報 台灣,0
李詠嫻  Jackie Lee,蘋果日報 台灣,0
阿布 & 米雪兒 幸福布二家,蘋果日報 台灣,0
焦糖 陳嘉行,蘋果日報 台灣,0
黃遠Huang,Yuan,蘋果日報 台灣,0
米可白,蘋果日報 台灣,0
群星瑞智 Star Ritz,蘋果日報 台灣,0
李鎮宇 Lucien,蘋果日報 台灣,0
劉逸達 Eada,蘋果日報 台灣,0
台灣妞韓國媳,蘋果日報 台灣,0
楊達敬 Gordon Yang,蘋果日報 台灣,0
喜喜粉絲集團ShiShi  Fans Group,蘋果日報 台灣,0
欣西亞和Shane任翔,蘋果日報 台灣,0
王建復 Jeff Wang - 瘋建幫,蘋果日報 台灣,0
他看她的第2眼,蘋果日報 台灣,0
永遠的大玩偶~阿西陳博正,蘋果日報 台灣,0
高盟傑,蘋果日報 台灣,0
關韶文,蘋果日報 台灣,0
台北貓慘案 全民來報案,蘋果日報 台灣,0
劉香慈國際專屬後援會－香迷天下,蘋果日報 台灣,0
郝慧川,蘋果日報 台灣,0
大吉漢堡食堂,蘋果日報 台灣,0
丁霜語 Vanessa Ding,蘋果日報 台灣,0
管麟 Peter,蘋果日報 台灣,0
可藍 Colleen wei,蘋果日報 台灣,0
陳凱文 Chen Kevin,蘋果日報 台灣,0
Rosie 楊凱琳,蘋果日報 台灣,0
美人幫Beauté,蘋果日報 台灣,0
臺灣街舞藝術協會,蘋果日報 台灣,0
Gino脖子,蘋果日報 台灣,0
藍心湄 Hsin-Mei Lan,蘋果日報 台灣,0
Phei Yong 培永,蘋果日報 台灣,0
李婉鈺的園地,蘋果日報 台灣,0
艋舺 MONGA,蘋果日報 台灣,0
林清華 男性的復仇,蘋果日報 台灣,0
台北捐血中心粉絲團,蘋果日報 台灣,0
璟宣 Elissa,蘋果日報 台灣,0
楊慶煌,蘋果日報 台灣,0
免費資源網路社群,蘋果日報 台灣,0
Nexdoor | 宇軒數位,蘋果日報 台灣,0
EZTABLE 簡單桌 - 預訂美好用餐時光,蘋果日報 台灣,0
潔哥,蘋果日報 台灣,0
日行一善,蘋果日報 台灣,0
Candy.mai 麥,蘋果日報 台灣,0
Sunny 王陽明,蘋果日報 台灣,0
Dizzy Dizzo 蔡詩芸,蘋果日報 台灣,0
HORIEN 5℃天然無氣泡蘇打水,蘋果日報 台灣,0
美迪亞健康器材,蘋果日報 台灣,0
智慧好程式,蘋果日報 台灣,0
娱乐最前线,蘋果日報 台灣,0
Agnes Lim林莉幃,蘋果日報 台灣,0
喜歡玩各種電動遊戲~Sandy*,蘋果日報 台灣,0
Pang Ho-Cheung 彭浩翔,蘋果日報 台灣,0
Jason 唐志中,蘋果日報 台灣,0
九把刀 Giddens Ko,蘋果日報 台灣,0
維娜-李萱verna,蘋果日報 台灣,0
兒少奸兵-立法偽猿王玉米,蘋果日報 台灣,0
徐巧芯,蘋果日報 台灣,0
吳怡萱,蘋果日報 台灣,0
希望工程,蘋果日報 台灣,0
北區50嵐公益園地,蘋果日報 台灣,0
黃耀明 Anthony Wong,蘋果日報 台灣,0
蘇小軒 Xiao Xuan Su,蘋果日報 台灣,0
大人物 慈善攝影展,蘋果日報 台灣,0
巴逆逆-小廢廢的吃土日記,蘋果日報 台灣,0
Innovate 專業頭皮養護,蘋果日報 台灣,0
陳彥佐（小花）,蘋果日報 台灣,0
羅平 Atif Baig,蘋果日報 台灣,0
外景小公主- 謝忻的粉絲團,蘋果日報 台灣,0
海海人生！海豚男！,蘋果日報 台灣,0
國立清水高中管樂社,蘋果日報 台灣,0
雪橇兔愛畫畫,蘋果日報 台灣,0
愛與希望公益交流平台,蘋果日報 台灣,0
讓想像飛躍—波隆納世界插畫大展,蘋果日報 台灣,0
打雜小妹與跩喵喵 Mei&Cat,蘋果日報 台灣,0
覺醒．世代 Awakening GenerationS,蘋果日報 台灣,0
無限期支持連勝文參選總統,蘋果日報 台灣,0
竹大青年覺醒陣線,蘋果日報 台灣,0
時事大小聲,蘋果日報 台灣,0
紙感應援團,蘋果日報 台灣,0
兆緯亂入妳的生活,蘋果日報 台灣,0
北投士林‧王奕凱,蘋果日報 台灣,0
全民監察怨,蘋果日報 台灣,0
台灣護樹團體聯盟,蘋果日報 台灣,0
公民廟口-立委在做天在看,蘋果日報 台灣,0
無限期支持台灣、支持台獨,蘋果日報 台灣,0
台中霸王,蘋果日報 台灣,0
單身狗冏囧,蘋果日報 台灣,0
連署救阿扁 停止政治迫害,蘋果日報 台灣,0
無限期支持柯震東,蘋果日報 台灣,0
火葬場滾出後龍自救會 臉書應援團,蘋果日報 台灣,0
彰濱秀傳社工課,蘋果日報 台灣,0
主播 黃文華,蘋果日報 台灣,0
【3c冉女人】主播王又冉的媽咪時尚-小葵媽,蘋果日報 台灣,0
簡立喆主播,蘋果日報 台灣,0
壹電視 Next TV新聞部,蘋果日報 台灣,0
中華民國 兒童權益促進協會,蘋果日報 台灣,0
PO 新聞,蘋果日報 台灣,0
鄭韶婕 cheng SHAO chieh,蘋果日報 台灣,0
Yahoo奇摩3C科技,蘋果日報 台灣,0
亨利市,蘋果日報 台灣,0
台灣兒童少年希望協會,蘋果日報 台灣,0
孩子的書屋,蘋果日報 台灣,0
得來素蔬食連鎖餐飲,蘋果日報 台灣,0
真實謊言,蘋果日報 台灣,0
洪銘蔚 - ミンミン賽車魂逐夢進行式,蘋果日報 台灣,0
Yilin愛戀瑜珈,蘋果日報 台灣,0
混血妞 Sora 林酉芯,蘋果日報 台灣,0
智慧社區雲管家,蘋果日報 台灣,0
香港資訊站 Hong Kong Info Station,蘋果日報 台灣,0
阿平漫畫,蘋果日報 台灣,0
Making Film 正在電影,蘋果日報 台灣,0
幸福鳥咖啡,蘋果日報 台灣,0
台視新聞 鄔凱雯,蘋果日報 台灣,0
菲月藝能傳播,蘋果日報 台灣,0
繽紛星球.Colorful Planet,蘋果日報 台灣,0
做個內心強大的人,蘋果日報 台灣,0
爆料中心,蘋果日報 台灣,0
劉依純粉絲團,蘋果日報 台灣,0
油董的家,蘋果日報 台灣,0
美姬ㄚ姨,蘋果日報 台灣,0
Dream Ink Tattoo印可兩週紋身,蘋果日報 台灣,0
陳思婷-艾思莉亞,蘋果日報 台灣,0
台北好生活,蘋果日報 台灣,0
瑭宜 TangYi,蘋果日報 台灣,0
Dermaviduals  德妍思    德國原裝進口,蘋果日報 台灣,0
輔大金剛狼邱柏學,蘋果日報 台灣,0
Jennifer Lin 歌手珍妮佛,蘋果日報 台灣,0
靖娟志工團,蘋果日報 台灣,0
宜蘭優質民宿-真水蘭陽白鷺鷥resort,蘋果日報 台灣,0
陽明山天籟渡假酒店,蘋果日報 台灣,0
CKB LIVE 成功電台,蘋果日報 台灣,0
富士電視台,蘋果日報 台灣,0
仔仔周渝民,蘋果日報 台灣,0
劉樂妍,蘋果日報 台灣,0
工商時報,蘋果日報 台灣,0
你手為什麼要那麼賤呢?,蘋果日報 台灣,0
郭宗坤,蘋果日報 台灣,0
顏力妃,蘋果日報 台灣,0
痞子英雄，三聯會臨海酒吧,蘋果日報 台灣,0
傑夫の燒肉,蘋果日報 台灣,0
Herma萬人迷,蘋果日報 台灣,0
贏家數位學院,蘋果日報 台灣,0
台灣大車隊 TaiwanTaxi 粉絲團,蘋果日報 台灣,0
張建聲 Justin Cheung,蘋果日報 台灣,0
KISS DJ 強尼,蘋果日報 台灣,0
青村白皮書-大專生洄游農村計畫,蘋果日報 台灣,0
相機美人,蘋果日報 台灣,0
愛台灣媒體行銷資訊站,蘋果日報 台灣,0
Becky 貝可儀,蘋果日報 台灣,0
亨姆姆,蘋果日報 台灣,0
不3不4 D-奇幻魅影全像世界大展,蘋果日報 台灣,0
旅遊不1樣,蘋果日報 台灣,0
NGO 國際參與成果展,蘋果日報 台灣,0
台南恩友 窮人朋友,蘋果日報 台灣,0
公民社會流,蘋果日報 台灣,0
小資欣妮’ｓ看屋日誌,蘋果日報 台灣,0
春風商號,蘋果日報 台灣,0
默站 Standing Man,蘋果日報 台灣,0
Foodiary 蔡蔡美食日記,蘋果日報 台灣,0
大買家網路量販店,蘋果日報 台灣,0
陳世念,蘋果日報 台灣,0
後壁高中校友會,蘋果日報 台灣,0
馮云,蘋果日報 台灣,0
R2義麵小棧-天母店,蘋果日報 台灣,0
香港農業  自給自足,蘋果日報 台灣,0
梁齊昕非官方國際後援會,蘋果日報 台灣,0
博碩文化 DrMaster,蘋果日報 台灣,0
Phimedia 通泰媒體,蘋果日報 台灣,0
公共電視視百年民與國,蘋果日報 台灣,0
「我在中國」(Co-China)論壇,蘋果日報 台灣,0
戰浪 A Town Called Success,蘋果日報 台灣,0
Finchley 客製娃娃鞋,蘋果日報 台灣,0
Taipei Soul Brothers ,蘋果日報 台灣,0
風起Uprisings,蘋果日報 台灣,0
大內藝術特區 Taipei Art District,蘋果日報 台灣,0
壹顆蘋果,蘋果日報 台灣,0
